states,year,quarter,trans_type,trans_counts,amount
andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
andhra-pradesh,2018,3,Others,348725,284248675.5700202
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.136086
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
andhra-pradesh,2018,4,Others,389411,315211361.2624941
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771367
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.370634
andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
andhra-pradesh,2019,1,Others,361263,284937624.53930193
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.910109
andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
andhra-pradesh,2019,2,Financial Services,145310,26626696.77104253
andhra-pradesh,2019,2,Others,448802,361492238.3966455
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.5153
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.5989065
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
andhra-pradesh,2019,3,Financial Services,122270,29778183.02708044
andhra-pradesh,2019,3,Others,413437,298142027.5862577
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.6875
andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
andhra-pradesh,2019,4,Financial Services,105662,26796571.745749157
andhra-pradesh,2019,4,Others,338672,216496893.1610287
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.0475
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.49699
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97353
andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
andhra-pradesh,2020,1,Others,292310,188228538.3748976
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573462
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.442688
andhra-pradesh,2020,2,Financial Services,140941,145274999.1567963
andhra-pradesh,2020,2,Others,176241,90087654.6000998
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.3205
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717
andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
andhra-pradesh,2020,3,Others,312329,151582519.1813668
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7709
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.55774
andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
andhra-pradesh,2020,4,Others,457527,306853355.594738
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.144817
andhra-pradesh,2021,1,Financial Services,225355,270313028.4845201
andhra-pradesh,2021,1,Others,347907,272546457.5502677
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91249
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106968
andhra-pradesh,2021,2,Financial Services,243237,265483044.4012466
andhra-pradesh,2021,2,Others,406842,308302224.3856007
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.1675
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
andhra-pradesh,2021,3,Financial Services,211171,297239697.8307386
andhra-pradesh,2021,3,Others,547759,403948275.5675607
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1284
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.98579
andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
andhra-pradesh,2021,4,Others,701856,545223415.6638832
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.478
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
andhra-pradesh,2022,1,Financial Services,231651,324358965.1185906
andhra-pradesh,2022,1,Others,627694,474382234.25397474
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.711
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.2089
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
andhra-pradesh,2022,2,Financial Services,192751,245783011.0445526
andhra-pradesh,2022,2,Others,441925,357036084.9071137
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.739
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
andhra-pradesh,2022,3,Financial Services,187190,239347241.5465504
andhra-pradesh,2022,3,Others,362484,323951101.5715289
